,LT,abs,rel
45565,1,44.72135955,43.9696865276
45569,0,139.283882772,118.321595662
45571,1,132.287565553,84.162541153
45573,1,72.1110255093,71.6472842007
45574,0,125.299640861,109.316055545
45576,0,60.0,54.7722557505
45579,0,137.113092008,136.869767784
45580,0,129.614813968,125.432584815
45581,0,107.238052948,88.0340843083
45584,1,143.527000944,111.952370825
45585,0,122.065556157,121.449578015
45586,1,34.6410161514,24.4948974278
45587,1,31.6227766017,27.0801280155
45588,1,66.3324958071,61.6441400297
45589,1,28.2842712475,28.2842712475
45590,1,82.4621125124,82.0568908339
45591,0,72.1110255093,67.8232998313
45596,0,117.898261226,116.117756322
45598,0,96.9535971483,96.9535971483
45599,0,116.189500386,103.360211558
45600,0,44.72135955,43.9696865276
45601,1,126.885775404,62.8490254499
45603,0,102.46950766,92.105012531
45605,0,112.249721603,107.393357957
45606,0,103.440804328,96.6953980291
45607,0,74.8331477355,56.5685424949
45608,1,69.2820323028,67.3300329224
45609,1,77.4596669241,65.8280588604
45612,0,115.758369028,100.664459137
45616,0,125.299640861,109.316055545
45617,0,122.474487139,83.2666399786
45618,1,82.4621125124,82.0568908339
45619,0,149.331845231,139.582711441
45620,1,66.3324958071,52.2812904712
45621,1,56.5685424949,46.1880215352
45622,0,128.840987267,111.05554166
45625,0,93.8083151965,80.0
45626,1,56.5685424949,46.1880215352
45631,1,60.0,59.4418483338
45632,0,110.453610172,94.5163125251
45633,0,60.0,59.4418483338
45634,1,124.899959968,94.5163125251
45638,1,125.6980509,118.883696668
45641,1,52.9150262213,46.9041575982
45644,0,158.429795178,133.229125945
45646,1,72.1110255093,67.8232998313
45647,1,82.4621125124,78.7400787401
45650,0,120.0,120.0
45654,0,126.885775404,115.253344131
45656,0,119.163752878,86.7947771086
45658,1,28.2842712475,28.2842712475
45661,1,72.1110255093,71.6472842007
45663,0,77.4596669241,65.8280588604
45664,0,130.766968306,122.814222846
45665,0,132.664991614,131.656117721
45666,1,82.4621125124,71.6472842007
45668,1,128.452325787,49.8330546258
45669,1,48.9897948557,36.514837167
45672,0,103.923048454,103.923048454
45673,1,109.087121146,90.2773504263
45678,1,135.277492585,132.224556469
45679,0,82.4621125124,82.0568908339
45680,0,140.0,67.8232998313
45682,0,28.2842712475,28.2842712475
45683,0,122.065556157,100.415802209
45684,0,28.2842712475,23.0940107676
45685,1,107.703296143,104.880884817
45687,1,69.2820323028,67.3300329224
45688,1,98.488578018,60.6904715201
45689,0,28.2842712475,23.0940107676
45691,0,80.0,80.0
45693,1,28.2842712475,23.0940107676
45695,0,28.2842712475,28.2842712475
45696,1,56.5685424949,28.2842712475
45697,1,60.0,59.4418483338
45698,0,70.7106781187,70.2376916857
45699,0,114.01754251,112.842072532
45700,0,108.627804912,108.320512062
45701,0,126.095202129,126.029097169
45702,1,77.4596669241,24.4948974278
45703,0,121.655250606,119.163752878
45705,0,169.410743461,128.646803303
45708,0,66.3324958071,65.8280588604
45713,0,98.488578018,97.7241014285
45715,0,118.321595662,118.321595662
45716,1,66.3324958071,61.6441400297
45717,1,86.6025403784,61.2372435696
45719,1,82.4621125124,78.7400787401
45723,0,72.1110255093,67.8232998313
45726,1,101.488915651,99.41495528
45727,1,122.882057274,122.270192606
45729,1,114.891252931,99.6661092515
45734,1,82.4621125124,59.4418483338
45735,0,52.9150262213,52.2812904712
45736,1,44.72135955,37.4165738677
45737,1,60.0,43.9696865276
45739,0,118.74342087,106.223035794
45743,0,82.4621125124,78.7400787401
45744,1,69.2820323028,69.2820323028
